program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
gl,er,1,1,100,2,15,0.56376,2.9618,0.97,704%,22344,24863,2325,0,0
gtp,er,1,1,100,2,11.0,0.000298976898193,0.000295,0.17,98%,63132,52,194,0,0
glp,er,1,1,100,2,14,0.76229,24.0631,1.14,2097%,22336,31489,14456,0,0
snp,er,1,1,100,2,10,0.000130891799927,0.000138,0.03,98%,31592,1,25,0,0
nx,er,0,2,100,2,8,0.0258481502533,0.02422,0.08,95%,26860,19,266,0,0
gl,er,0,2,100,2,8,0.334265,2.49158,0.42,934%,22092,15746,2026,0,0
gtp,er,0,2,100,2,7.0,0.000397920608521,0.000394,0.14,98%,63140,39,172,0,0
glp,er,0,2,100,2,5,0.275123,9.68286,0.54,1984%,20648,12944,5431,0,0
snp,er,0,2,100,2,5,0.000156164169312,0.000179,0.02,98%,31584,2,27,0,0
nx,er,1,2,100,2,0,6.69956207275e-05,6.8e-05,0.13,98%,26888,8,35,0,0
gl,er,1,2,100,2,16,0.606024,2.55181,0.96,863%,20552,26100,2873,0,0
gtp,er,1,2,100,2,13.0,0.000378847122192,0.000375,0.16,98%,63132,48,150,0,0
glp,er,1,2,100,2,12,0.699822,21.3205,1.12,2221%,24360,26849,10396,0,0
snp,er,1,2,100,2,10,0.000127077102661,0.00014,0.02,98%,31596,2,23,0,0
nx,er,0,3,100,2,8,0.0490481853485,0.025064,0.08,51%,26848,9,109,0,0
gl,er,0,3,100,2,8,0.32669,2.64453,0.60,938%,25068,15153,1637,0,0
gtp,er,0,3,100,2,8.0,0.000393867492676,0.00039,0.17,99%,63136,49,156,0,0
glp,er,0,3,100,2,6,0.452138,12.7636,0.78,1686%,24324,15119,3773,0,0
snp,er,0,3,100,2,5,0.000164985656738,0.00018,0.02,98%,31580,2,25,0,0
nx,er,1,3,100,2,0,4.50611114502e-05,4.6e-05,0.11,86%,26888,9,26,0,0
gl,er,1,3,100,2,14,0.56365,3.71101,0.80,856%,22228,23040,1704,0,0
gtp,er,1,3,100,2,11.0,0.000388145446777,0.000383,0.17,99%,63132,53,143,0,0
glp,er,1,3,100,2,11,0.631862,21.1369,0.89,2134%,26404,25322,11392,0,0
snp,er,1,3,100,2,10,0.000138998031616,0.000152,0.03,98%,31592,2,26,0,0
nx,er,0,4,100,2,7,0.067538022995,0.024415,0.14,88%,26868,5,33,0,0
gl,er,0,4,100,2,7,0.310708,2.83318,0.50,967%,20912,14164,1518,0,0
gtp,er,0,4,100,2,7.0,0.000447034835815,0.000443,0.20,97%,63140,49,192,0,0
glp,er,0,4,100,2,6,0.274333,10.0987,0.56,1703%,22324,14197,4973,0,0
snp,er,0,4,100,2,5,0.000179052352905,0.000221,0.03,98%,31584,2,24,0,0
nx,er,1,4,100,2,0,5.60283660889e-05,5.9e-05,0.08,49%,26884,28,128,0,0
gl,er,1,4,100,2,13,0.513117,2.74975,0.63,907%,26344,22247,2730,0,0
gtp,er,1,4,100,2,9.0,0.000393867492676,0.00039,0.15,98%,63132,50,131,0,0
glp,er,1,4,100,2,13,0.808542,25.9842,1.14,2309%,22312,29098,11245,0,0
snp,er,1,4,100,2,10,0.000114917755127,0.00013,0.04,98%,31596,2,24,0,0
nx,er,0,0,100,4,4,0.0402801036835,0.02431,0.09,65%,27168,24,60,0,0
gl,er,0,0,100,4,4,0.200846,3.23524,0.56,1427%,26036,9683,1149,0,0
gtp,er,0,0,100,4,4.0,0.000340938568115,0.000338,0.16,97%,63140,50,161,0,0
glp,er,0,0,100,4,7,0.4103,14.7103,0.69,2031%,22252,16597,6307,0,0
snp,er,0,0,100,4,4,0.000185966491699,0.000199,0.04,90%,31584,2,27,0,0
nx,er,1,0,100,4,0,4.41074371338e-05,4.9e-05,0.08,73%,27208,20,39,0,0
gl,er,1,0,100,4,8,0.346176,2.63868,0.65,856%,20316,15365,1754,0,0
gtp,er,1,0,100,4,6.0,0.000364065170288,0.000359,0.14,99%,63132,52,150,0,0
